"V2","V4"
"ZNF263","KMT2B"
"ZNF263","MATR3"
"ZNF263","TRIM14"
"ZNF263","SEPT7"
"ZNF263","MRC2"
"TRIM28","LINC00910"
"TRIM28","GPC6"
"TRIM28","ZNF263"
"TRIM28","TXNRD2"
"TRIM28","MAPRE2"
"TRIM28","RCC1"
"TRIM28","ZNF501"
"TRIM28","ZNF792"
"TRIM28","ZNF280A"
"TRIM28","ADH6"
"TRIM28","COMT"
"TRIM28","ZNF572"
"TRIM28","CRKL"
"TRIM28","ZNF280B"
"TRIM28","NOTUM"
"TRIM28","ZNF436-AS1"
"TRIM28","YDJC"
"TRIM28","ZNF595"
"TRIM28","RBM33"
"TRIM28","CCDC116"
"TRIM28","CCDC71L"
"TRIM28","FABP3"
"TRIM28","GPC5"
"TRIM28","PRAME"
"TRIM28","SDF2L1"
"TRIM28","PPIL2"
"TRIM28","ABL1"
"TRIM28","ZNF718"
"TRIM28","RSPH14"
"TRIM28","FRG1BP"
"TRIM28","YPEL1"
"TRIM28","HIST1H2AD"
"TRIM28","HP"
"TRIM28","ID3"
"TRIM28","IRF2BP2"
"TRIM28","GLTPD2"
"TRIM28","SP5"
"TRIM28","RBAKDN"
"TRIM28","ST20"
"TRIM28","LOC400710"
"TRIM28","MKLN1"
"TRIM28","MTTP"
"TRIM28","PCDH9"
"TRIM28","PCMT1"
"TRIM28","PIK3CB"
"TRIM28","PI4KA"
"TRIM28","TESC"
"TRIM28","ARHGEF10L"
"TRIM28","ANKRD30BL"
"TRIM28","NBPF1"
"TRIM28","PRKAR2B"
"TRIM28","MAPK1"
"TRIM28","CXCL16"
"TRIM28","BCR"
"TRIM28","ZSCAN31"
"TRIM28","LL22NC03-63E9.3"
"TRIM28","MRPL40"
"TRIM28","TLE4"
"TRIM28","TTR"
"TRIM28","ROCK1P1"
"TRIM28","FAM155A"
"TRIM28","HIRA"
"TRIM28","ASPSCR1"
"TRIM28","NUP214"
"TRIM28","ZNF436"
"TRIM28","HIST1H4I"
"TRIM28","HIST1H2BF"
"TRIM28","HIST1H3D"
"TRIM28","AIF1L"
"TRIM28","IMMP2L"
"TRIM28","SNHG3"
"TRIM28","KRBA1"
"TRIM28","TOP3B"
"TRIM28","HIST1H2AG"
"TRIM28","HIST1H2BJ"
"TRIM28","TM4SF5"
"TRIM28","GGTLC2"
"TRIM28","ZNF300"
"TRIM28","CD7"
"TRIM28","FANK1"
"TRIM28","SNAP29"
"TRIM28","SEC22B"
"TRIM28","RAB36"
"TRIM28","PDE4DIP"
"TRIM28","TATDN2"
"TRIM28","CBX1"
"TRIM28","CBX3"
"TRIM28","CBX5"
"TRIM28","CEBPB"
"TRIM28","CHAF1A"
"TRIM28","CHD3"
"TRIM28","ESR1"
"TRIM28","NR3C1"
"TRIM28","SERTAD2"
"TRIM28","SETDB1"
"TRIM28","SPG7"
"TRIM28","TRIM24"
"TRIM28","TRIM28"
"TRIM28","VIM"
"TRIM28","ZNF10"
"TRIM28","ZNF197"
"TRIM28","ZNF354A"
"TRIM28","ZNF382"
"TRIM28","ZNF689"
"TRIM28","ZNF74"
"CEBPB","LOC100270746"
"CEBPB","MIR3187"
"CEBPB","MTRNR2L4"
"CEBPB","ABCF2"
"CEBPB","HIPK3"
"CEBPB","ARL4A"
"CEBPB","RASGRP1"
"CEBPB","LRPPRC"
"CEBPB","OPTN"
"CEBPB","SUGP2"
"CEBPB","EBI3"
"CEBPB","RASA4"
"CEBPB","ALG3"
"CEBPB","EIF1"
"CEBPB","FLOT1"
"CEBPB","TRIB1"
"CEBPB","NBR2"
"CEBPB","HNRNPR"
"CEBPB","SRRM1"
"CEBPB","DSCR4"
"CEBPB","APC2"
"CEBPB","TLR6"
"CEBPB","NDRG1"
"CEBPB","WFDC2"
"CEBPB","RAPGEF3"
"CEBPB","PRMT5"
"CEBPB","UBAC1"
"CEBPB","TIMM44"
"CEBPB","CLGN"
"CEBPB","SEC23A"
"CEBPB","CEBPB"
"CEBPB","ATG7"
"CEBPB","BATF"
"CEBPB","POSTN"
"CEBPB","CES1"
"CEBPB","KLF1"
"CEBPB","CD226"
"CEBPB","STAG2"
"CEBPB","CHL1"
"CEBPB","KDM5B"
"CEBPB","NEK6"
"CEBPB","NCKAP1"
"CEBPB","ZNF460"
"CEBPB","CYSLTR1"
"CEBPB","FAXDC2"
"CEBPB","USP20"
"CEBPB","ME3"
"CEBPB","NMU"
"CEBPB","MRPS30"
"CEBPB","SUB1"
"CEBPB","MLLT11"
"CEBPB","SLC27A2"
"CEBPB","ESM1"
"CEBPB","TBC1D8"
"CEBPB","NISCH"
"CEBPB","MST1P2"
"CEBPB","EGLN3"
"CEBPB","PDAP1"
"CEBPB","SLC25A25"
"CEBPB","ESCO1"
"CEBPB","ZBED9"
"CEBPB","OSBPL10"
"CEBPB","RAB42"
"CEBPB","TNFRSF13C"
"CEBPB","NOSTRIN"
"CEBPB","MRGPRF"
"CEBPB","ACAP3"
"CEBPB","RFFL"
"CEBPB","SLC36A4"
"CEBPB","LRRK2"
"CEBPB","CLTC"
"CEBPB","GTSF1"
"CEBPB","SLC51B"
"CEBPB","CCR7"
"CEBPB","DCUN1D3"
"CEBPB","ADH1B"
"CEBPB","AFMID"
"CEBPB","PUSL1"
"CEBPB","GOLT1A"
"CEBPB","COL4A2"
"CEBPB","ZNF280A"
"CEBPB","NUP35"
"CEBPB","RBM45"
"CEBPB","ADH6"
"CEBPB","C2orf76"
"CEBPB","SCLT1"
"CEBPB","C4orf33"
"CEBPB","ADM"
"CEBPB","PRRC1"
"CEBPB","TRIM50"
"CEBPB","CPN2"
"CEBPB","PASD1"
"CEBPB","CTCFL"
"CEBPB","TMEM37"
"CEBPB","UBE2F"
"CEBPB","RIPOR3"
"CEBPB","CSF3R"
"CEBPB","AMDHD1"
"CEBPB","GSC"
"CEBPB","ISM2"
"CEBPB","MDP1"
"CEBPB","NOTUM"
"CEBPB","CSTF1"
"CEBPB","PDIK1L"
"CEBPB","AIFM3"
"CEBPB","PUS10"
"CEBPB","CTSH"
"CEBPB","CTSS"
"CEBPB","ZNF595"
"CEBPB","TTC39B"
"CEBPB","FREM1"
"CEBPB","CSAG1"
"CEBPB","AKAP14"
"CEBPB","AARS"
"CEBPB","DAB2"
"CEBPB","DBI"
"CEBPB","DBT"
"CEBPB","DCN"
"CEBPB","ACE"
"CEBPB","SDE2"
"CEBPB","CNST"
"CEBPB","AKR1C1"
"CEBPB","DDIT3"
"CEBPB","TIGD2"
"CEBPB","AFP"
"CEBPB","DLX1"
"CEBPB","DYNC1H1"
"CEBPB","DPEP1"
"CEBPB","AGT"
"CEBPB","DUSP1"
"CEBPB","DUSP9"
"CEBPB","E2F2"
"CEBPB","E4F1"
"CEBPB","AHSG"
"CEBPB","APLF"
"CEBPB","ADGRE1"
"CEBPB","C4orf46"
"CEBPB","SMIM14"
"CEBPB","EPB41"
"CEBPB","EPB41L2"
"CEBPB","EPO"
"CEBPB","ERBB3"
"CEBPB","ETF1"
"CEBPB","ETFB"
"CEBPB","ETFDH"
"CEBPB","ALB"
"CEBPB","FABP1"
"CEBPB","FABP3"
"CEBPB","HEPACAM"
"CEBPB","FCER2"
"CEBPB","HNRNPA3"
"CEBPB","EEF1AKMT1"
