V1,V2
CEBPB,HOXD10
CEBPB,HOXB9
CEBPB,HOXA5
CEBPB,HOXA4
CEBPB,HLF
CEBPB,FOXO1
CEBPB,DDIT3
CEBPB,CREBBP
CEBPB,CREB5
CEBPB,CEBPG
CEBPB,CEBPD
CEBPB,ARNT
CEBPB,ARID5B
CEBPB,ABT1
CEBPB,ANKRD1
CEBPB,ASH2L
CEBPB,CBX4
CEBPB,CELF3
CEBPB,DAB2
CEBPB,DACH2
CEBPB,DLX1
CEBPB,E4F1
CEBPB,FOXP2
CEBPB,FXR2
CEBPB,GSC
CEBPB,GTF2H2
CEBPB,HCFC1
CEBPB,HCLS1
CEBPB,HDAC11
CEBPB,HDAC8
CEBPB,HDAC9
CEBPB,HIF3A
CEBPB,HIST1H2BD
CEBPB,HIST1H2BG
CEBPB,HIST1H2BJ
CEBPB,HMGA1
CEBPB,HNRNPK
CEBPB,HNRNPR
CEBPB,HOPX
CEBPB,HOXA3
CEBPB,HOXC9
CEBPB,ID1
CEBPB,IKZF3
CEBPB,IRF8
CEBPB,KDM5B
CEBPB,KLF1
CEBPB,KLF5
CEBPB,LZTR1
CEBPB,MAML1
CEBPB,MDM4
CEBPB,MECOM
CEBPB,MED15
CEBPB,MED23
CEBPB,MTF2
CEBPB,NCOA5
CEBPB,NFE2L2
CEBPB,NFKBIA
CEBPB,NFX1
CEBPB,NOTCH3
CEBPB,NR0B2
CEBPB,PAX7
CEBPB,PITX2
CEBPB,PNN
CEBPB,POLR2B
CEBPB,POLR3E
CEBPB,PRRX1
CEBPB,RB1
CEBPB,RBM39
CEBPB,RUNX2
CEBPB,RUVBL2
CEBPB,SKIL
CEBPB,SMARCA2
CEBPB,SPIB
CEBPB,SRRM1
CEBPB,SUB1
CEBPB,TAF11
CEBPB,TAF9
CEBPB,TBL1X
CEBPB,TCF21
CEBPB,THRA
CEBPB,TLE3
CEBPB,TRIB3
CEBPB,TWIST2
CEBPB,FOXF1
CEBPB,FOXQ1
CEBPB,GBX2
CEBPB,GZF1
CEBPB,HOXD1
CEBPB,ONECUT2
CEBPB,SLC2A4RG
CEBPB,UBTF
CEBPB,XRCC5
CEBPB,ZNF175
CEBPB,ZNF217
CEBPB,LRPPRC
CEBPB,DHRS2
CEBPB,CES1
CEBPB,MST1P2
CEBPB,ZNF280A
CEBPB,TRIM50
CEBPB,ZNF595
CEBPB,EPB41L2
CEBPB,ETFB
CEBPB,FCER2
CEBPB,FGL1
CEBPB,TNRC6B
CEBPB,PPIP5K2
CEBPB,RPL13A
CEBPB,ZNF718
CEBPB,NOL11
CEBPB,ACADSB
CEBPB,MALAT1
CEBPB,GLTPD2
CEBPB,SP5
CEBPB,RC3H2
CEBPB,PPP2R5C
CEBPB,PRKCB
CEBPB,TEX15
CEBPB,PTPN4
CEBPB,GRHL3
CEBPB,CXCL16
CEBPB,RPL12
CEBPB,NUP214
CEBPB,MAD1L1
CEBPB,SLC25A11
CEBPB,OFD1
CEBPB,TM4SF5
CEBPB,LRSAM1
CEBPB,EBI3
CEBPB,CDKN1A
CEBPB,APC2
CEBPB,MRGPRF
CEBPB,RBM45
CEBPB,DPEP1
CEBPB,SETD1B
CEBPB,COTL1
CEBPB,NPAT
CEBPB,MPP6
CEBPB,ATP6V1G2
CEBPB,PSMB5
CEBPB,CEACAM1
CEBPB,TGFB1
CEBPB,TPD52L2
CEBPB,CA5A
CEBPB,PARP8
CEBPB,SLC9A7
CEBPB,DLK1
CEBPB,CCND2
CEBPB,ACVR1
CEBPB,GGTLC2
CEBPB,ITGB1BP1
CEBPB,MRC2
CEBPB,GPC6
CEBPB,ADH6
CEBPB,NOTUM
CEBPB,FABP3
CEBPB,HP
CEBPB,PCMT1
CEBPB,TESC
CEBPB,ARHGEF10L
CEBPB,TTR
CEBPB,ASPSCR1
CEBPB,HIST1H4I
CEBPB,HIST1H2AG
CEBPB,CD7
CEBPB,VIM
CEBPB,LOC100270746
CEBPB,ABCF2
CEBPB,HIPK3
CEBPB,ARL4A
CEBPB,RASGRP1
CEBPB,OPTN
CEBPB,RASA4
CEBPB,ALG3
CEBPB,EIF1
CEBPB,FLOT1
CEBPB,TRIB1
CEBPB,NBR2
CEBPB,DSCR4
CEBPB,TLR6
CEBPB,NDRG1
CEBPB,WFDC2
CEBPB,RAPGEF3
CEBPB,PRMT5
CEBPB,UBAC1
CEBPB,TIMM44
CEBPB,CLGN
CEBPB,SEC23A
CEBPB,ATG7
CEBPB,POSTN
CEBPB,CD226
CEBPB,STAG2
CEBPB,CHL1
CEBPB,NEK6
CEBPB,NCKAP1
CEBPB,ZNF460
CEBPB,CYSLTR1
CEBPB,USP20
CEBPB,ME3
CEBPB,NMU
CEBPB,MRPS30
CEBPB,MLLT11
CEBPB,SLC27A2
CEBPB,ESM1
CEBPB,TBC1D8
CEBPB,NISCH
CEBPB,EGLN3
CEBPB,PDAP1
CEBPB,SLC25A25
CEBPB,ESCO1
CEBPB,OSBPL10
CEBPB,RAB42
CEBPB,TNFRSF13C
CEBPB,NOSTRIN
CEBPB,ACAP3
CEBPB,RFFL
CEBPB,SLC36A4
CEBPB,LRRK2
CEBPB,CLTC
CEBPB,GTSF1
CEBPB,CCR7
CEBPB,DCUN1D3
CEBPB,ADH1B
CEBPB,AFMID
CEBPB,PUSL1
CEBPB,GOLT1A
CEBPB,COL4A2
CEBPB,NUP35
CEBPB,C2orf76
CEBPB,SCLT1
CEBPB,C4orf33
CEBPB,ADM
CEBPB,PRRC1
CEBPB,CPN2
CEBPB,PASD1
CEBPB,TMEM37
CEBPB,UBE2F
CEBPB,CSF3R
CEBPB,AMDHD1
CEBPB,ISM2
CEBPB,MDP1
CEBPB,CSTF1
CEBPB,PDIK1L
CEBPB,AIFM3
CEBPB,PUS10
CEBPB,CTSH
CEBPB,CTSS
CEBPB,TTC39B
CEBPB,FREM1
CEBPB,CSAG1
CEBPB,AKAP14
CEBPB,AARS
CEBPB,DBI
CEBPB,DBT
CEBPB,DCN
CEBPB,ACE
CEBPB,CNST
CEBPB,AKR1C1
CEBPB,TIGD2
CEBPB,AFP
CEBPB,DYNC1H1
CEBPB,AGT
CEBPB,DUSP1
CEBPB,DUSP9
CEBPB,AHSG
CEBPB,APLF
CEBPB,C4orf46
CEBPB,EPB41
CEBPB,EPO
CEBPB,ERBB3
CEBPB,ETF1
CEBPB,ETFDH
CEBPB,ALB
CEBPB,FABP1
CEBPB,HEPACAM
CEBPB,HNRNPA3
CEBPB,HIST1H2AA
CEBPB,VWDE
CEBPB,FDFT1
CEBPB,KCTD20
CEBPB,FGFR2
CEBPB,XRN2
CEBPB,SACM1L
CEBPB,RPIA
CEBPB,ALDOC
CEBPB,CNOT1
CEBPB,MYO16
CEBPB,FNBP1
CEBPB,FLG
CEBPB,CLASP2
CEBPB,PLXND1
CEBPB,SLC35D1
CEBPB,PSME4
CEBPB,EXOC6B
CEBPB,FMO5
CEBPB,FN1
CEBPB,UBR4
CEBPB,FNBP4
CEBPB,ABCA6
CEBPB,TNFRSF13B
CEBPB,PIK3R5
CEBPB,WBP2
CEBPB,ZIM2
CEBPB,SLC7A11
CEBPB,EID1
CEBPB,TMEM9
CEBPB,FUT8
CEBPB,FZD2
CEBPB,G6PC
CEBPB,POC1A
CEBPB,LRRC32
CEBPB,PCDHB5
CEBPB,FGF21
CEBPB,TIMM13
CEBPB,MYEOV
CEBPB,BSCL2
CEBPB,GJA4
CEBPB,AMPD3
CEBPB,PGAP2
CEBPB,GOT1
CEBPB,ANG
CEBPB,SLC39A5
CEBPB,C12orf40
CEBPB,HMSD
CEBPB,RNF149
CEBPB,COX18
CEBPB,P2RY8
CEBPB,GPX2
CEBPB,CHMP4A
CEBPB,CXCL2
CEBPB,GPR132
CEBPB,UBQLN1
CEBPB,SLC40A1
CEBPB,HIST1H1D
CEBPB,HIST1H1T
CEBPB,HIST1H1A
CEBPB,SERPIND1
CEBPB,HDLBP
CEBPB,NCKAP1L
CEBPB,CTAG2
CEBPB,HMOX1
CEBPB,HNMT
CEBPB,HNRNPF
CEBPB,HNRNPH1
CEBPB,HPN
CEBPB,RAB37
CEBPB,AGFG2
CEBPB,PRMT1
CEBPB,HSD17B2
CEBPB,HSPA9
CEBPB,IARS
CEBPB,APOB
CEBPB,ICAM2
CEBPB,ICAM4
CEBPB,FREM2
CEBPB,ZKSCAN2
CEBPB,APOC3
CEBPB,MOGAT3
CEBPB,APOH
CEBPB,IGSF1
CEBPB,IL1RN
CEBPB,IL2RG
CEBPB,IL6R
CEBPB,IL13RA2
CEBPB,IL16
CEBPB,TNFRSF9
CEBPB,INSIG1
CEBPB,ISG20
CEBPB,ITGA5
CEBPB,ITGB7
CEBPB,ITIH2
CEBPB,ITPR1
CEBPB,IVL
CEBPB,NDUFS7
CEBPB,KCNH2
CEBPB,KLHL30
CEBPB,KPNB1
CEBPB,GPR153
CEBPB,CLEC17A
CEBPB,ZNF805
CEBPB,LGALS7
CEBPB,LIPC
CEBPB,FADS1
CEBPB,FADS3
CEBPB,FAM102A
CEBPB,LPP
CEBPB,CUEDC1
CEBPB,CTXN1
CEBPB,LTBR
CEBPB,LYZ
CEBPB,MAGEA2
CEBPB,MAGEA3
CEBPB,MAGEA12
CEBPB,MAGEB1
CEBPB,MAGEB2
CEBPB,CCL3L3
CEBPB,MDH1
CEBPB,VCX3B
CEBPB,MGST2
CEBPB,MLH1
CEBPB,MMP19
CEBPB,ASL
CEBPB,RFPL4B
CEBPB,MSH2
CEBPB,MYO7A
CEBPB,NARS
CEBPB,NDUFS4
CEBPB,NDUFV2
CEBPB,SEPT2
